constraint_name,constraint_type,constraint_base_name,puf_link,year,stabbr,AGI_STUB,table_desc,target,target_num
A00100,amount,00100,c00100,2017,NY,1,Adjusted gross income (AGI),-23906390000,19876
A00200,amount,00200,E00200,2017,NY,1,Salaries and wages amount,1221150000,19877
A00300,amount,00300,E00300,2017,NY,1,Taxable interest amount,822159000,19878
A00600,amount,00600,E00600,2017,NY,1,Ordinary dividends amount,654183000,19879
A00650,amount,00650,E00650,2017,NY,1,Qualified dividends amount,437277000,19880
A00700,amount,00700,E00700,2017,NY,1,State and local income tax refunds amount,44863000,19881
A00900,amount,00900,E00900,2017,NY,1,Business or professional net income (less loss) amount [Schedule C],-568460000,19882
A01400,amount,01400,E01400,2017,NY,1,Taxable individual retirement arrangements distributions amount,169119000,19883
A01700,amount,01700,E01700,2017,NY,1,Taxable pensions and annuities amount,181261000,19884
A02300,amount,02300,E02300,2017,NY,1,Unemployment compensation amount,3800000,19885
A03150,amount,03150,E03150,2017,NY,1,IRA payments amount,3607000,19886
A03210,amount,03210,E03210,2017,NY,1,Student loan interest deduction amount,6606000,19887
A03220,amount,03220,E03220,2017,NY,1,Educator expenses amount,87000,19888
A03230,amount,03230,E03230,2017,NY,1,Tuition and fees deduction amount,18168000,19889
A03240,amount,03240,E03240,2017,NY,1,Domestic production activities deduction amount,35213000,19890
A03270,amount,03270,E03270,2017,NY,1,Self-employment health insurance deduction amount,39316000,19891
A03300,amount,03300,E03300,2017,NY,1,Self-employment retirement plans amount,7728000,19892
A05800,amount,05800,c05800,2017,NY,1,Income tax before credits amount,30967000,19893
A07240,amount,07240,E07240,2017,NY,1,Retirement savings contribution credit amount,44000,19894
A07260,amount,07260,E07260,2017,NY,1,Residential energy tax credit amount,0,19895
A07300,amount,07300,E07300,2017,NY,1,Foreign tax credit amount,2000,19896
A09600,amount,09600,c09600,2017,NY,1,Alternative minimum tax amount,30740000,19897
A18500,amount,18500,E18500,2017,NY,1,Real estate taxes amount,0,19898
A26270,amount,26270,E26270,2017,NY,1,Partnership/S-corp net income (less loss) amount,-7077144000,19899
MARS1,n_returns,NA,MARS1,2017,NY,1,Number of single returns,72990,19900
MARS2,n_returns,NA,MARS2,2017,NY,1,Number of joint returns,29780,19901
MARS3,n_returns,NA,MARS3,2017,NY,1,Number of married-separate returns,4330,19902
MARS4,n_returns,NA,MARS4,2017,NY,1,Number of head of household returns,5810,19903
N00100,n_nonzero,00100,c00100,2017,NY,1,Number of returns with adjusted gross income (AGI),89360,19904
N00200,n_nonzero,00200,E00200,2017,NY,1,Number of returns with salaries and wages,28950,19905
N00300,n_nonzero,00300,E00300,2017,NY,1,Number of returns with taxable interest,43320,19906
N00600,n_nonzero,00600,E00600,2017,NY,1,Number of returns with ordinary dividends,31570,19907
N00650,n_nonzero,00650,E00650,2017,NY,1,Number of returns with qualified dividends,28860,19908
N00700,n_nonzero,00700,E00700,2017,NY,1,Number of returns with state and local income tax refunds,4010,19909
N00900,n_nonzero,00900,E00900,2017,NY,1,Number of returns with business or professional net income (less loss) [Schedule C],33830,19910
N01400,n_nonzero,01400,E01400,2017,NY,1,Number of returns with taxable individual retirement arrangements distributions,8540,19911
N01700,n_nonzero,01700,E01700,2017,NY,1,Number of returns with taxable pensions and annuities,12670,19912
N02300,n_nonzero,02300,E02300,2017,NY,1,Number of returns with unemployment compensation,640,19913
N03150,n_nonzero,03150,E03150,2017,NY,1,Number of returns with IRA payments,670,19914
